gene,variable,value
NMNAT1,arch_0,0.0006365228
RBP7,arch_0,-0.015712624
UBE4B,arch_0,-0.014229555
KIF1B,arch_0,-0.026745345
AL139424.3,arch_0,-0.026755204
AL139424.2,arch_0,-0.021539854
PGD,arch_0,-0.05298335
CENPS,arch_0,-0.02095172
DFFA,arch_0,-0.007904312
PEX14,arch_0,-0.0040272996
AL139423.2,arch_0,-0.024392163
C1orf127,arch_0,-0.019556783
TARDBP,arch_0,-0.002248605
MASP2,arch_0,-0.01797388
AL109811.2,arch_0,-0.014304749
SRM,arch_0,-0.010782682
EXOSC10,arch_0,-0.0047595785
AL109811.1,arch_0,-0.017948145
MTOR,arch_0,-0.013205004
MTOR-AS1,arch_0,-0.025011411
ANGPTL7,arch_0,-0.030222755
UBIAD1,arch_0,-0.0153982015
AL031291.1,arch_0,-0.018435
AL031731.1,arch_0,-0.017848657
FBXO2,arch_0,-0.019863833
FBXO44,arch_0,-0.009912277
FBXO6,arch_0,-0.016938914
MAD2L2,arch_0,-0.025282435
DRAXIN,arch_0,-0.018485436
AGTRAP,arch_0,-0.01810344
C1orf167,arch_0,-0.020073412
MTHFR,arch_0,0.028129935
CLCN6,arch_0,0.009246735
AL021155.5,arch_0,-0.026761282
KIAA2013,arch_0,-0.018508177
PLOD1,arch_0,-0.058649436
MFN2,arch_0,-0.019638237
MIIP,arch_0,-0.018662995
TNFRSF8,arch_0,-0.016507957
TNFRSF1B,arch_0,0.023719426
VPS13D,arch_0,0.0073608793
DHRS3,arch_0,0.042602185
LRRC38,arch_0,-0.016473455
PDPN,arch_0,-0.019928493
PRDM2,arch_0,-0.012414628
KAZN,arch_0,0.0958055
AL357873.1,arch_0,-0.05629141
KAZN-AS1,arch_0,-0.0328879
AL031293.1,arch_0,-0.020201052
TMEM51-AS1,arch_0,-0.022690415
TMEM51,arch_0,-0.011600954
C1orf195,arch_0,-0.024711829
FHAD1,arch_0,-0.01907755
EFHD2,arch_0,-0.020281106
CELA2B,arch_0,-0.02644503
CASP9,arch_0,-0.011739733
DNAJC16,arch_0,-0.0017671944
AGMAT,arch_0,-0.025175404
AL121992.1,arch_0,-0.021363387
DDI2,arch_0,-0.010568096
PLEKHM2,arch_0,0.0059991865
AL450998.3,arch_0,-0.017148029
SLC25A34,arch_0,-0.019079482
SLC25A34-AS1,arch_0,-0.024377909
FBLIM1,arch_0,0.016518569
AL450998.2,arch_0,-0.011469658
SPEN,arch_0,-0.008506708
ZBTB17,arch_0,-0.009288238
EPHA2,arch_0,-0.01048794
AL451042.1,arch_0,-0.027880477
ARHGEF19,arch_0,-0.024082856
CPLANE2,arch_0,-0.020738436
FBXO42,arch_0,-0.027061779
SZRD1,arch_0,-0.016079864
SPATA21,arch_0,-0.019729722
NECAP2,arch_0,-0.007783866
LINC01772,arch_0,-0.008939602
NBPF1,arch_0,0.020985164
CROCC,arch_0,0.0013136311
BX284668.5,arch_0,-0.02498291
MFAP2,arch_0,-0.019963797
AL049569.1,arch_0,-0.014316451
ATP13A2,arch_0,-0.005559631
SDHB,arch_0,-0.007629885
PADI2,arch_0,-0.019380935
PADI4,arch_0,-0.019528558
RCC2,arch_0,-0.018067086
ARHGEF10L,arch_0,0.027421182
ACTL8,arch_0,-0.019865034
IGSF21,arch_0,-0.014441758
PAX7,arch_0,-0.017931368
ALDH4A1,arch_0,-0.02073984
IFFO2,arch_0,0.0038109003
UBR4,arch_0,-0.006555593
EMC1-AS1,arch_0,-0.0037215764
EMC1,arch_0,-0.008655928
MRTO4,arch_0,-0.013670714
AKR7A3,arch_0,-0.018419212
AKR7A2,arch_0,-0.013922789
SLC66A1,arch_0,-0.016947115
CAPZB,arch_0,0.011623391
MICOS10,arch_0,-0.0048042205
NBL1,arch_0,0.0057870955
HTR6,arch_0,-0.016499028
TMCO4,arch_0,0.005483089
OTUD3,arch_0,0.0011558004
PLA2G2A,arch_0,-0.05234149
PLA2G5,arch_0,-0.0953917
VWA5B1,arch_0,-0.015593429
CAMK2N1,arch_0,-0.009054424
MUL1,arch_0,-0.026766375
FAM43B,arch_0,-0.036722288
CDA,arch_0,-0.012540029
PINK1,arch_0,-0.016150102
PINK1-AS,arch_0,-0.018431917
DDOST,arch_0,-0.015561917
KIF17,arch_0,-0.01908543
HP1BP3,arch_0,-0.0052385726
EIF4G3,arch_0,-0.021521378
ECE1,arch_0,-0.04248501
AL031005.1,arch_0,-0.019242467
AL031728.1,arch_0,-0.031757906
NBPF3,arch_0,0.0077941483
ALPL,arch_0,-0.001592254
RAP1GAP,arch_0,-0.019344736
USP48,arch_0,0.002292795
LDLRAD2,arch_0,-0.021289475
HSPG2,arch_0,-0.042804006
CELA3B,arch_0,-0.017925002
CDC42,arch_0,-0.004074877
CDC42-AS1,arch_0,-0.019189289
WNT4,arch_0,-0.02435631
ZBTB40,arch_0,-0.006735039
EPHB2,arch_0,0.043254282
TEX46,arch_0,-0.019070707
KDM1A,arch_0,-0.008253174
AL031428.1,arch_0,-0.022979604
LUZP1,arch_0,-0.0068215495
LINC01355,arch_0,-0.002697406
AL109936.6,arch_0,-0.024093453
HNRNPR,arch_0,-0.013572801
ZNF436,arch_0,-0.0067826174
ZNF436-AS1,arch_0,-0.019942237
TCEA3,arch_0,0.026443379
ASAP3,arch_0,0.028716477
E2F2,arch_0,-0.020226547
ID3,arch_0,0.004441458
MDS2,arch_0,-0.021343606
RPL11,arch_0,-0.021946734
ELOA-AS1,arch_0,-0.010954096
ELOA,arch_0,-0.0011909504
PITHD1,arch_0,-0.0054250318
LYPLA2,arch_0,-0.02223232
GALE,arch_0,-0.023894174
HMGCL,arch_0,-0.0026897162
FUCA1,arch_0,-0.011727948
CNR2,arch_0,-0.021242347
PNRC2,arch_0,-0.016034223
SRSF10,arch_0,-0.004544205
GRHL3,arch_0,-0.018889904
STPG1,arch_0,-0.003475628
NIPAL3,arch_0,0.0010230786
RCAN3AS,arch_0,-0.021841
RCAN3,arch_0,-0.010414853
NCMAP-DT,arch_0,-0.01787842
NCMAP,arch_0,-0.022214212
SRRM1,arch_0,0.006162163
CLIC4,arch_0,-0.013038527
SYF2,arch_0,-0.029827831
AL031432.4,arch_0,-0.017039968
RSRP1,arch_0,-0.000643527
RHD,arch_0,-0.014775886
TMEM50A,arch_0,-0.021130582
RHCE,arch_0,-0.018897694
MACO1,arch_0,0.004817209
LDLRAP1,arch_0,0.004672375
AL606491.1,arch_0,-0.018359846
MAN1C1,arch_0,0.06990121
AL031280.1,arch_0,-0.00036997595
SELENON,arch_0,-0.011629619
AL020996.1,arch_0,-0.022940073
MTFR1L,arch_0,-0.0127910655
AUNIP,arch_0,-0.023633681
AL033528.2,arch_0,-0.02467009
PAQR7,arch_0,-0.010972706
PAFAH2,arch_0,-0.009774289
PDIK1L,arch_0,-0.013497063
ZNF593,arch_0,-0.019217594
CNKSR1,arch_0,-0.021570288
CEP85,arch_0,-0.014595641
SH3BGRL3,arch_0,-0.023669017
UBXN11,arch_0,-0.012055465
CRYBG2,arch_0,-0.01915584
DHDDS,arch_0,-0.012205565
AL513365.2,arch_0,-0.01997722
HMGN2,arch_0,-0.016284725
RPS6KA1,arch_0,-0.015428826
ARID1A,arch_0,0.0019563553
PIGV,arch_0,-0.02296271
ZDHHC18,arch_0,-0.00586659
GPN2,arch_0,-0.004577389
AL034380.1,arch_0,-0.021898856
GPATCH3,arch_0,-0.016445251
NUDC,arch_0,-0.006845397
SLC9A1,arch_0,-0.0063544274
WDTC1,arch_0,-0.013006274
TMEM222,arch_0,-0.010358567
SYTL1,arch_0,-0.018373875
MAP3K6,arch_0,0.008034662
WASF2,arch_0,-0.013752928
FO393419.2,arch_0,-0.022695957
BX293535.1,arch_0,-0.02202303
AHDC1,arch_0,0.013855593
FGR,arch_0,-0.013972048
IFI6,arch_0,-0.0014049248
AL445490.1,arch_0,-0.023516873
FAM76A,arch_0,0.012900193
STX12,arch_0,0.013479437
AL020997.4,arch_0,-0.018381167
PPP1R8,arch_0,-0.011032725
THEMIS2,arch_0,-0.014010048
RPA2,arch_0,-0.0026797072
SMPDL3B,arch_0,-0.018492337
AL512288.1,arch_0,-0.019410793
XKR8,arch_0,-0.023648975
EYA3,arch_0,-0.0046488317
PTAFR,arch_0,-0.018316044
DNAJC8,arch_0,-0.011736506
SESN2,arch_0,0.0018301306
MED18,arch_0,-0.024104314
PHACTR4,arch_0,0.006081558
RCC1,arch_0,-0.005802348
TRNAU1AP,arch_0,0.0005412452
SNHG12,arch_0,-0.006617492
TAF12,arch_0,-0.0075168954
RAB42,arch_0,-0.018869337
LINC01715,arch_0,-0.023656443
AL360012.1,arch_0,-0.020349635
GMEB1,arch_0,-0.0028510238
YTHDF2,arch_0,-0.0035485108
OPRD1,arch_0,-0.019272013
EPB41,arch_0,-0.0034392974
TMEM200B,arch_0,-0.0148416255
AL357500.1,arch_0,-0.023817377
SRSF4,arch_0,-0.012730923
MECR,arch_0,-0.0023134216
PTPRU,arch_0,0.007215347
MATN1,arch_0,-0.021223893
MATN1-AS1,arch_0,-0.020878743
SDC3,arch_0,0.0013715657
PUM1,arch_0,-0.014899831
NKAIN1,arch_0,-0.021188356
SNRNP40,arch_0,-0.00978566
ZCCHC17,arch_0,-0.0023512752
AL451070.1,arch_0,-0.015573682
SERINC2,arch_0,-0.016364075
LINC01226,arch_0,-0.018991422
HCRTR1,arch_0,-0.025058335
PEF1,arch_0,-0.016759241
AC114488.2,arch_0,-0.02201637
COL16A1,arch_0,-0.00469688
ADGRB2,arch_0,-0.01740319
SPOCD1,arch_0,-0.016451953
AL136115.2,arch_0,-0.014698195
PTP4A2,arch_0,-0.009218675
AL136115.1,arch_0,-0.020532269
AL136115.3,arch_0,-0.017310724
KHDRBS1,arch_0,0.0009470434
AL445248.1,arch_0,-0.019457472
TMEM39B,arch_0,-0.0069838366
KPNA6,arch_0,-0.005791523
TXLNA,arch_0,-0.004333641
CCDC28B,arch_0,-0.014413782
AL049795.1,arch_0,-0.020963786
IQCC,arch_0,-0.02544525
DCDC2B,arch_0,-0.014492589
TMEM234,arch_0,-0.011206399
EIF3I,arch_0,-0.004045459
LCK,arch_0,-0.017555354
HDAC1,arch_0,-0.003428337
MARCKSL1,arch_0,-0.038793854
TSSK3,arch_0,-0.010660525
FAM229A,arch_0,-0.014584182
BSDC1,arch_0,-0.0049311696
ZBTB8B,arch_0,-0.022761298
ZBTB8A,arch_0,-0.008049013
ZBTB8OS,arch_0,-0.001163593
RBBP4,arch_0,-0.0056042536
SYNC,arch_0,0.0022517205
KIAA1522,arch_0,-0.009865702
YARS,arch_0,-0.015625428
S100PBP,arch_0,0.0045796176
FNDC5,arch_0,0.00079536624
HPCA,arch_0,-0.019448964
TMEM54,arch_0,-0.024771404
AL031602.2,arch_0,-0.016210198
RNF19B,arch_0,-0.0012942895
AL020995.1,arch_0,-0.018041926
AK2,arch_0,-0.0068132128
AZIN2,arch_0,-0.054183513
TRIM62,arch_0,-0.038114443
AL662907.3,arch_0,-0.02116251
ZNF362,arch_0,-0.0043180734
A3GALT2,arch_0,-0.028446352
AL513327.1,arch_0,-0.105919525
PHC2,arch_0,-0.06685626
AL513327.2,arch_0,-0.021381265
ZSCAN20,arch_0,-0.012217843
CSMD2,arch_0,0.020630347
CSMD2-AS1,arch_0,-0.017878907
SMIM12,arch_0,-0.0039949925
TMEM35B,arch_0,-0.025269063
ZMYM6,arch_0,-0.0046215206
ZMYM1,arch_0,5.0218176e-05
AL590434.1,arch_0,-0.02270554
SFPQ,arch_0,-0.009835817
ZMYM4,arch_0,-0.0026709682
ZMYM4-AS1,arch_0,-0.015993487
KIAA0319L,arch_0,-0.007650334
NCDN,arch_0,-0.02210841
AC004865.2,arch_0,-0.020856341
TFAP2E,arch_0,-0.0062200474
PSMB2,arch_0,-0.0033300996
C1orf216,arch_0,-0.022080107
CLSPN,arch_0,-0.020842118
AGO4,arch_0,-0.009048328
AGO1,arch_0,0.0036827945
AL139286.3,arch_0,-0.026855242
AGO3,arch_0,-0.011860335
AL138787.2,arch_0,-0.022824489
ADPRHL2,arch_0,-0.0034989542
COL8A2,arch_0,-0.002626512
TRAPPC3,arch_0,-0.0031663978
MAP7D1,arch_0,-0.003591631
THRAP3,arch_0,-0.010159165
SH3D21,arch_0,-0.0022763994
EVA1B,arch_0,-0.03259878
AL591845.1,arch_0,-0.020914435
STK40,arch_0,-0.0020319864
LSM10,arch_0,-0.021469625
OSCP1,arch_0,-0.007970589
MRPS15,arch_0,-0.01915486
CSF3R,arch_0,-0.002703629
GRIK3,arch_0,-0.016653858
AL353604.1,arch_0,-0.025009442
LINC01137,arch_0,-0.012665921
ZC3H12A,arch_0,-0.018423945
MEAF6,arch_0,-0.005045821
SNIP1,arch_0,-0.0071610548
DNALI1,arch_0,-0.016180947
GNL2,arch_0,-0.003185414
C1orf109,arch_0,-0.0094531765
CDCA8,arch_0,-0.020351963
MANEAL,arch_0,-0.020259809
YRDC,arch_0,-0.026073804
C1orf122,arch_0,-0.031340864
MTF1,arch_0,-0.0037083933
AL929472.2,arch_0,-0.02061208
INPP5B,arch_0,0.00074348104
SF3A3,arch_0,-0.007971681
FHL3,arch_0,-0.025740976
UTP11,arch_0,-0.016115164
MIR3659HG,arch_0,-0.013948452
RRAGC,arch_0,0.0005290274
AL139260.1,arch_0,0.026164493
MYCBP,arch_0,-0.007687253
GJA9,arch_0,-0.016561331
RHBDL2,arch_0,-0.0018694879
AKIRIN1,arch_0,0.0015178261
NDUFS5,arch_0,-0.014216856
MACF1,arch_0,0.0026310657
AL442071.2,arch_0,-0.02419132
AL442071.1,arch_0,-0.027152134
BMP8A,arch_0,-0.030542787
PABPC4,arch_0,-0.0074669104
PABPC4-AS1,arch_0,-0.026893232
HEYL,arch_0,-0.07193365
HPCAL4,arch_0,-0.017316546
PPIE,arch_0,-0.0047850762
BMP8B,arch_0,-0.028103786
AL033527.4,arch_0,-0.020296069
LINC02811,arch_0,-0.021825042
TRIT1,arch_0,-0.0047797677
MFSD2A,arch_0,-0.01554055
CAP1,arch_0,-0.0015943554
PPT1,arch_0,-0.0013401187
RLF,arch_0,-0.012558665
TMCO2,arch_0,-0.020593127
AL050341.2,arch_0,-0.024313487
ZMPSTE24,arch_0,-0.0011866005
COL9A2,arch_0,-0.02465986
SMAP2,arch_0,0.021134315
AL031985.4,arch_0,-0.019392628
ZFP69B,arch_0,-0.024142535
ZFP69,arch_0,-0.010795996
AL603839.3,arch_0,0.0053266603
EXO5,arch_0,-0.01817478
ZNF684,arch_0,-0.0032252069
AL356379.2,arch_0,-0.021449592
RIMS3,arch_0,-0.020447217
AL031289.1,arch_0,-0.024221381
NFYC-AS1,arch_0,-0.028469052
NFYC,arch_0,0.005054062
KCNQ4,arch_0,-0.017588656
CTPS1,arch_0,0.0053517977
SLFNL1-AS1,arch_0,-0.016927887
SLFNL1,arch_0,-0.021883473
SCMH1,arch_0,0.0042574415
AC093151.8,arch_0,-0.024121538
FOXO6,arch_0,-0.014086488
AC093151.2,arch_0,-0.021603249
HIVEP3,arch_0,0.005892575
FOXJ3,arch_0,-0.008393831
ZMYND12,arch_0,-0.021664286
PPCS,arch_0,-0.004149659
CCDC30,arch_0,0.012793046
PPIH,arch_0,-0.00261763
AC098484.4,arch_0,-0.01246252
YBX1,arch_0,0.004139727
P3H1,arch_0,-0.007117208
C1orf50,arch_0,-0.0080982875
TMEM269,arch_0,-0.022550888
SVBP,arch_0,-0.020632254
ERMAP,arch_0,-0.008536138
AL512353.1,arch_0,-0.023672577
ZNF691,arch_0,-0.022249289
SLC2A1,arch_0,-0.024549544
SLC2A1-AS1,arch_0,-0.0032545375
EBNA1BP2,arch_0,-0.0070894444
CFAP57,arch_0,-0.018762365
TIE1,arch_0,-0.01413542
MPL,arch_0,-0.0181714
AL139289.2,arch_0,-0.022865044
ELOVL1,arch_0,-0.02471297
MED8,arch_0,-0.0155142965
AL139289.1,arch_0,-0.024908198
SZT2,arch_0,0.00017142415
HYI,arch_0,-0.008072874
HYI-AS1,arch_0,-0.019619547
PTPRF,arch_0,0.022957826
KDM4A,arch_0,0.00269661
KDM4A-AS1,arch_0,-0.017707132
ST3GAL3,arch_0,0.008329838
AL451062.1,arch_0,-0.01788782
AL357079.1,arch_0,-0.02141605
IPO13,arch_0,-0.020817766
DPH2,arch_0,-0.025225073
ATP6V0B,arch_0,-0.022965657
B4GALT2,arch_0,-0.01404531
CCDC24,arch_0,-0.016195077
SLC6A9,arch_0,-0.017962683
AL139220.2,arch_0,-0.021593466
DMAP1,arch_0,-0.0037148492
ERI3,arch_0,0.0065409974
RNF220,arch_0,-0.006179966
TMEM53,arch_0,-0.010719887
ARMH1,arch_0,0.0063609844
KIF2C,arch_0,-0.024240473
AL592166.1,arch_0,-0.018769803
RPS8,arch_0,-0.023407068
PLK3,arch_0,-0.0011986985
BTBD19,arch_0,-0.015569905
PTCH2,arch_0,0.010867564
EIF2B3,arch_0,0.009588057
HECTD3,arch_0,-0.009027558
UROD,arch_0,-0.022210129
ZSWIM5,arch_0,0.016024342
MUTYH,arch_0,-0.013990814
TOE1,arch_0,-0.018937709
TESK2,arch_0,-0.007061932
CCDC163,arch_0,-0.021098675
MMACHC,arch_0,-0.021028709
PRDX1,arch_0,-0.03807316
AKR1A1,arch_0,-0.0069270344
NASP,arch_0,-0.00029840495
CCDC17,arch_0,-0.020295782
GPBP1L1,arch_0,-0.0055895
TMEM69,arch_0,-0.008750478
IPP,arch_0,-0.0004972762
MAST2,arch_0,0.0015251309
PIK3R3,arch_0,0.01939466
POMGNT1,arch_0,-0.0047368575
LURAP1,arch_0,0.0015465138
RAD54L,arch_0,-0.017750328
LRRC41,arch_0,0.0012145445
UQCRH,arch_0,-0.0037891993
NSUN4,arch_0,-0.00848973
FAAH,arch_0,-0.021372838
MKNK1-AS1,arch_0,-0.017791182
MKNK1,arch_0,0.020697325
ATPAF1,arch_0,0.007035856
TEX38,arch_0,-0.021075254
EFCAB14-AS1,arch_0,-0.023231234
EFCAB14,arch_0,-0.006957337
CYP4B1,arch_0,-0.107797496
CYP4A11,arch_0,-0.05092839
CYP4X1,arch_0,-0.030541176
CYP4Z1,arch_0,-0.08994857
CYP4A22-AS1,arch_0,-0.06936625
CYP4A22,arch_0,-0.025634505
STIL,arch_0,-0.019026201
CMPK1,arch_0,-0.0065567736
LINC01389,arch_0,-0.022156008
TRABD2B,arch_0,-0.03551457
LINC02794,arch_0,-0.032996096
AL109659.1,arch_0,-0.041425973
SLC5A9,arch_0,-0.06517713
AL109659.2,arch_0,-0.02720483
SPATA6,arch_0,-0.060680557
AGBL4,arch_0,0.0009869714
AC099788.1,arch_0,-0.017310524
AL590432.1,arch_0,-0.016300064
ELAVL4,arch_0,-0.019174885
FAF1,arch_0,0.0023864326
AL049637.1,arch_0,-0.024460947
CDKN2C,arch_0,-0.021244641
C1orf185,arch_0,-0.018469319
LINC01562,arch_0,-0.023524716
RNF11,arch_0,-0.006350422
AL162430.2,arch_0,-0.025060998
TTC39A,arch_0,-0.02392927
EPS15,arch_0,-0.0036412429
AC104170.2,arch_0,-0.024687367
AC104170.1,arch_0,-0.01860711
OSBPL9,arch_0,-0.053646382
NRDC,arch_0,-0.014914777
AL050343.2,arch_0,-0.021992968
AL050343.3,arch_0,-0.018213151
RAB3B,arch_0,-0.019624403
TXNDC12,arch_0,-0.011003107
AL445685.1,arch_0,-0.02562912
TXNDC12-AS1,arch_0,-0.020834941
BTF3L4,arch_0,-0.01279373
ZFYVE9,arch_0,-2.9486437e-05
CC2D1B,arch_0,-0.011273851
AL513218.2,arch_0,-0.023521742
ORC1,arch_0,-0.02264435
PRPF38A,arch_0,-0.0072032525
TUT4,arch_0,-0.008254214
GPX7,arch_0,-0.018886302
SHISAL2A,arch_0,-0.02094791
COA7,arch_0,-0.021287423
ZYG11B,arch_0,-0.009509762
ZYG11A,arch_0,-0.022450933
ECHDC2,arch_0,0.013233445
SCP2,arch_0,0.022400165
PODN,arch_0,0.020318978
AL445183.1,arch_0,-0.003579295
SLC1A7,arch_0,0.011235967
CPT2,arch_0,-0.013494489
AL606760.2,arch_0,-0.015149475
CZIB,arch_0,-0.014514327
MAGOH,arch_0,-0.009011408
AL606760.1,arch_0,-0.01914136
LRP8,arch_0,-0.01784321
GLIS1,arch_0,0.026898703
NDC1,arch_0,-0.007783228
YIPF1,arch_0,-0.0052677654
DIO1,arch_0,-0.019816382
HSPB11,arch_0,-0.00049531186
LRRC42,arch_0,-0.0130277425
TMEM59,arch_0,-0.023410201
TCEANC2,arch_0,-0.0016110415
CYB5RL,arch_0,-0.005975371
MRPL37,arch_0,-0.011005997
SSBP3,arch_0,0.033376828
ACOT11,arch_0,-0.012451956
TTC4,arch_0,-0.0015501429
PARS2,arch_0,-0.027285516
DHCR24,arch_0,-0.02828053
AC096536.3,arch_0,-0.022794178
USP24,arch_0,0.0048287115
MIR4422HG,arch_0,-0.021311486
AL603840.1,arch_0,-0.026712332
LINC01753,arch_0,-0.02356842
AL353681.1,arch_0,-0.025422651
AC119674.1,arch_0,-0.09133983
LINC01767,arch_0,-0.022092113
PLPP3,arch_0,-0.07686938
DAB1,arch_0,0.00863194
AL445193.2,arch_0,-0.021601727
AL035411.3,arch_0,-0.018192843
MYSM1,arch_0,-0.0015643893
AL136985.3,arch_0,-0.019027686
JUN,arch_0,0.013497585
LINC01135,arch_0,0.0029247424
AL136985.1,arch_0,-0.021240879
LINC02777,arch_0,-0.02343688
LINC01358,arch_0,0.008996964
AL592431.1,arch_0,-0.021313254
AC093425.1,arch_0,0.0071104546
FGGY,arch_0,0.004182497
AL035416.1,arch_0,-0.027445367
C1orf87,arch_0,-0.017630508
LINC01748,arch_0,-0.017852003
AC099792.1,arch_0,-0.015653277
NFIA,arch_0,-0.034378942
NFIA-AS2,arch_0,-0.022648552
NFIA-AS1,arch_0,-0.028527647
AC099791.3,arch_0,-0.027177695
AC099791.4,arch_0,-0.021684924
TM2D1,arch_0,-0.025519857
AC099791.2,arch_0,-0.02398197
PATJ,arch_0,-0.045533344
L1TD1,arch_0,-0.020864129
KANK4,arch_0,-0.010421605
USP1,arch_0,-0.011895738
DOCK7,arch_0,0.002478341
ANGPTL3,arch_0,-0.025719821
AC103923.1,arch_0,-0.0162658
ATG4C,arch_0,0.0084508145
LINC00466,arch_0,-0.022484168
ALG6,arch_0,-0.003671281
ITGB3BP,arch_0,0.0048352517
BX004807.1,arch_0,-0.020800885
EFCAB7,arch_0,0.0054285964
PGM1,arch_0,-0.010072497
ROR1,arch_0,-0.015703078
ROR1-AS1,arch_0,-0.01763081
CACHD1,arch_0,0.04459262
RAVER2,arch_0,0.0120966565
JAK1,arch_0,0.00023273627
AK4,arch_0,-0.0066211405
DNAJC6,arch_0,0.0031937275
AL139294.1,arch_0,-0.021886459
LEPR,arch_0,0.039889295
PDE4B,arch_0,-0.006080274
SGIP1,arch_0,-0.015414363
AL139147.1,arch_0,-0.016829753
TCTEX1D1,arch_0,-0.01602944
WDR78,arch_0,0.011728145
MIER1,arch_0,-0.0118390145
SLC35D1,arch_0,0.00403033
C1orf141,arch_0,-0.022951728
